name,path,caption
DM_V1_071,/art/The_Drawing_Machine/Version_1/071.png,"The Drawing Machine, Version 1 , 071, ATH, 2024."
DM_V1_072,/art/The_Drawing_Machine/Version_1/072.png,"The Drawing Machine, Version 1 , 072, ATH, 2024."
DM_V1_073,/art/The_Drawing_Machine/Version_1/073.png,"The Drawing Machine, Version 1 , 073, ATH, 2024."
DM_V1_074,/art/The_Drawing_Machine/Version_1/074.png,"The Drawing Machine, Version 1 , 074, ATH, 2024."
DM_V1_075,/art/The_Drawing_Machine/Version_1/075.png,"The Drawing Machine, Version 1 , 075, ATH, 2024."
DM_V1_076,/art/The_Drawing_Machine/Version_1/076.png,"The Drawing Machine, Version 1 , 076, ATH, 2024."
DM_V1_077,/art/The_Drawing_Machine/Version_1/077.png,"The Drawing Machine, Version 1 , 077, ATH, 2024."
DM_V1_078,/art/The_Drawing_Machine/Version_1/078.png,"The Drawing Machine, Version 1 , 078, ATH, 2024."
DM_V1_079,/art/The_Drawing_Machine/Version_1/079.png,"The Drawing Machine, Version 1 , 079, ATH, 2024."
DM_V1_080,/art/The_Drawing_Machine/Version_1/080.png,"The Drawing Machine, Version 1 , 080, ATH, 2024."
DM_V1_081,/art/The_Drawing_Machine/Version_1/081.png,"The Drawing Machine, Version 1 , 081, ATH, 2024."
DM_V1_082,/art/The_Drawing_Machine/Version_1/082.png,"The Drawing Machine, Version 1 , 082, ATH, 2024."
DM_V1_083,/art/The_Drawing_Machine/Version_1/083.png,"The Drawing Machine, Version 1 , 083, ATH, 2024."
DM_V1_084,/art/The_Drawing_Machine/Version_1/084.png,"The Drawing Machine, Version 1 , 084, ATH, 2024."
DM_V1_085,/art/The_Drawing_Machine/Version_1/085.png,"The Drawing Machine, Version 1 , 085, ATH, 2024."
DM_V1_086,/art/The_Drawing_Machine/Version_1/086.png,"The Drawing Machine, Version 1 , 086, ATH, 2024."
DM_V1_087,/art/The_Drawing_Machine/Version_1/087.png,"The Drawing Machine, Version 1 , 087, ATH, 2024."
DM_V1_088,/art/The_Drawing_Machine/Version_1/088.png,"The Drawing Machine, Version 1 , 088, ATH, 2024."
DM_V1_089,/art/The_Drawing_Machine/Version_1/089.png,"The Drawing Machine, Version 1 , 089, ATH, 2024."
DM_V1_090,/art/The_Drawing_Machine/Version_1/090.png,"The Drawing Machine, Version 1 , 090, ATH, 2024."
DM_V1_091,/art/The_Drawing_Machine/Version_1/091.png,"The Drawing Machine, Version 1 , 091, ATH, 2024."
DM_V1_092,/art/The_Drawing_Machine/Version_1/092.png,"The Drawing Machine, Version 1 , 092, ATH, 2024."
